,focos,municipio
CABIXI,12,CABIXI
APIACAS,12,APIACAS
CANUTAMA,12,CANUTAMA
MANAQUIRI,12,MANAQUIRI
JAPURA,12,JAPURA
IPIXUNA DO PARA,11,IPIXUNA DO PARA
SORRISO,11,SORRISO
GUAJARA-MIRIM,11,GUAJARA-MIRIM
ARAME,11,ARAME
BOA VISTA DO RAMOS,11,BOA VISTA DO RAMOS
IRANDUBA,11,IRANDUBA
MACHADINHO D'OESTE,11,MACHADINHO D'OESTE
SENA MADUREIRA,11,SENA MADUREIRA
OEIRAS DO PARA,11,OEIRAS DO PARA
COUTO MAGALHAES,11,COUTO MAGALHAES
CUJUBIM,10,CUJUBIM
ABEL FIGUEIREDO,10,ABEL FIGUEIREDO
PORTO ACRE,10,PORTO ACRE
URUCURITUBA,10,URUCURITUBA
BURITICUPU,10,BURITICUPU
AGUA AZUL DO NORTE,10,AGUA AZUL DO NORTE
APUI,10,APUI
SANTA TEREZINHA,9,SANTA TEREZINHA
MOJU,9,MOJU
NOVO ARIPUANA,9,NOVO ARIPUANA
NHAMUNDA,9,NHAMUNDA
SAO PAULO DE OLIVENCA,9,SAO PAULO DE OLIVENCA
ITAPUA DO OESTE,9,ITAPUA DO OESTE
IRITUIA,9,IRITUIA
SILVES,9,SILVES
NOVA BANDEIRANTES,9,NOVA BANDEIRANTES
GOVERNADOR JORGE TEIXEIRA,9,GOVERNADOR JORGE TEIXEIRA
COLIDER,9,COLIDER
CHUPINGUAIA,8,CHUPINGUAIA
DOM ELISEU,8,DOM ELISEU
PORTO ALEGRE DO NORTE,8,PORTO ALEGRE DO NORTE
ARIQUEMES,8,ARIQUEMES
FARO,8,FARO
CANABRAVA DO NORTE,8,CANABRAVA DO NORTE
BURITIS,8,BURITIS
JOAO LISBOA,8,JOAO LISBOA
COTRIGUACU,8,COTRIGUACU
RIO BRANCO,8,RIO BRANCO
URUCARA,8,URUCARA
CRUZEIRO DO SUL,8,CRUZEIRO DO SUL
CUMARU DO NORTE,8,CUMARU DO NORTE
BACURITUBA,7,BACURITUBA
ARAGUATINS,7,ARAGUATINS
HUMAITA,7,HUMAITA
JARU,7,JARU
MARABA,7,MARABA
CAPITAO POCO,7,CAPITAO POCO
ITUPIRANGA,7,ITUPIRANGA
XAPURI,7,XAPURI
MATUPA,7,MATUPA
SAO JOSE DO RIO CLARO,6,SAO JOSE DO RIO CLARO
NOVO MUNDO,6,NOVO MUNDO
BRASILEIA,6,BRASILEIA
PORTO GRANDE,6,PORTO GRANDE
ESPERANTINA,6,ESPERANTINA
ESPIGAO D'OESTE,6,ESPIGAO D'OESTE
NOVO HORIZONTE DO NORTE,6,NOVO HORIZONTE DO NORTE
SANTA LUZIA D'OESTE,6,SANTA LUZIA D'OESTE
PARANAITA,6,PARANAITA
FEIJO,6,FEIJO
FONTE BOA,6,FONTE BOA
PAULO RAMOS,6,PAULO RAMOS
BOM JESUS DO TOCANTINS,6,BOM JESUS DO TOCANTINS
SANTA HELENA,6,SANTA HELENA
JAURU,5,JAURU
NOVA CANAA DO NORTE,5,NOVA CANAA DO NORTE
AMATURA,5,AMATURA
ASSIS BRASIL,5,ASSIS BRASIL
CONFRESA,5,CONFRESA
VITORINO FREIRE,5,VITORINO FREIRE
SERRANO DO MARANHAO,5,SERRANO DO MARANHAO
PORTO ESTRELA,5,PORTO ESTRELA
SAO DOMINGOS DO CAPIM,5,SAO DOMINGOS DO CAPIM
MURICILANDIA,5,MURICILANDIA
GLORIA D'OESTE,5,GLORIA D'OESTE
SENADOR LA ROCQUE,5,SENADOR LA ROCQUE
TONANTINS,5,TONANTINS
CURUA,5,CURUA
TABATINGA,5,TABATINGA
NOVA MUTUM,4,NOVA MUTUM
IPIXUNA,4,IPIXUNA
NOVA SANTA HELENA,4,NOVA SANTA HELENA
SALTO DO CEU,4,SALTO DO CEU
TUCURUI,4,TUCURUI
SAO FELIPE D'OESTE,4,SAO FELIPE D'OESTE
REDENCAO,4,REDENCAO
TUCUMA,4,TUCUMA
AMARANTE DO MARANHAO,4,AMARANTE DO MARANHAO
NOVA GUARITA,4,NOVA GUARITA
CEREJEIRAS,4,CEREJEIRAS
BERURI,4,BERURI
ALTA FLORESTA D'OESTE,4,ALTA FLORESTA D'OESTE
SANTO AFONSO,4,SANTO AFONSO
FLORESTA DO ARAGUAIA,4,FLORESTA DO ARAGUAIA
GUARANTA DO NORTE,4,GUARANTA DO NORTE
BACURI,4,BACURI
SAO JOAO DE PIRABAS,4,SAO JOAO DE PIRABAS
ARENAPOLIS,4,ARENAPOLIS
BOM JESUS DO ARAGUAIA,4,BOM JESUS DO ARAGUAIA
VILA NOVA DOS MARTIRIOS,4,VILA NOVA DOS MARTIRIOS
BOM JARDIM,4,BOM JARDIM
CENTRO NOVO DO MARANHAO,4,CENTRO NOVO DO MARANHAO
ACARA,4,ACARA
JURUENA,4,JURUENA
XINGUARA,4,XINGUARA
OURILANDIA DO NORTE,4,OURILANDIA DO NORTE
TRACUATEUA,4,TRACUATEUA
CENTRAL DO MARANHAO,4,CENTRAL DO MARANHAO
PARECIS,3,PARECIS
ITAPIRANGA,3,ITAPIRANGA
BRAGANCA,3,BRAGANCA
MIRINZAL,3,MIRINZAL
SAO VICENTE FERRER,3,SAO VICENTE FERRER
SANTO ANTONIO DO ICA,3,SANTO ANTONIO DO ICA
TURIACU,3,TURIACU
ARAGUAINA,3,ARAGUAINA
CURURUPU,3,CURURUPU
SAO SEBASTIAO DO UATUMA,3,SAO SEBASTIAO DO UATUMA
SAO DOMINGOS DO ARAGUAIA,3,SAO DOMINGOS DO ARAGUAIA
ENVIRA,3,ENVIRA
MIRANTE DA SERRA,3,MIRANTE DA SERRA
MARACANA,3,MARACANA
ABAETETUBA,3,ABAETETUBA
VILA RICA,3,VILA RICA
CANAA DOS CARAJAS,3,CANAA DOS CARAJAS
GRAJAU,3,GRAJAU
ALTO ALEGRE DO PINDARE,3,ALTO ALEGRE DO PINDARE
NORTELANDIA,3,NORTELANDIA
MONTE NEGRO,3,MONTE NEGRO
VISEU,3,VISEU
SAO FRANCISCO DO BREJAO,3,SAO FRANCISCO DO BREJAO
BREJO GRANDE DO ARAGUAIA,3,BREJO GRANDE DO ARAGUAIA
PINHEIRO,3,PINHEIRO
VALE DO ANARI,3,VALE DO ANARI
