,focos,estado
RORAIMA,4378,RORAIMA
MATO GROSSO,2983,MATO GROSSO
PARA,2330,PARA
AMAZONAS,1254,AMAZONAS
RONDONIA,413,RONDONIA
MARANHAO,236,MARANHAO
ACRE,148,ACRE
TOCANTINS,40,TOCANTINS
AMAPA,20,AMAPA
